"id";"modelo";"one_shot";"few_shot"
"1";"deepseek-v3";"no";"No."
"2";"deepseek-v3";"No.";"no"
"3";"deepseek-v3";"no";"Yes"
"4";"deepseek-v3";"No.";"No."
"5";"deepseek-v3";"No.";"No."
"6";"deepseek-v3";"No";"no"
"7";"deepseek-v3";"yes";"Yes."
"8";"deepseek-v3";"yes";"Yes."
"9";"deepseek-v3";"no";"no"
"10";"deepseek-v3";"No.";"no"
"11";"deepseek-v3";"no";"no"
"12";"deepseek-v3";"no";"No."
"13";"deepseek-v3";"No.";"No."
"14";"deepseek-v3";"no";"no"
"15";"deepseek-v3";"No.";"No."
"16";"deepseek-v3";"no";"No."
"17";"deepseek-v3";"no";"no"
"18";"deepseek-v3";"no";"No."
"19";"deepseek-v3";"No.";"no"
"20";"deepseek-v3";"no";"no"
"21";"deepseek-v3";"no";"no"
"22";"deepseek-v3";"no";"no"
"23";"deepseek-v3";"no";"No."
"24";"deepseek-v3";"No";"no"
"25";"deepseek-v3";"No.";"no"
"26";"deepseek-v3";"No.";"no"
"27";"deepseek-v3";"no";"No."
"28";"deepseek-v3";"Yes.";"No."
"29";"deepseek-v3";"no";"No."
"30";"deepseek-v3";"No.";"No."
"31";"deepseek-v3";"yes";"yes"
"32";"deepseek-v3";"no";"No."
"33";"deepseek-v3";"no";"no"
"34";"deepseek-v3";"no";"No."
"35";"deepseek-v3";"no";"no"
"36";"deepseek-v3";"no";"no"
"37";"deepseek-v3";"No.";"No"
"38";"deepseek-v3";"No.";"No."
"39";"deepseek-v3";"No.";"No."
"40";"deepseek-v3";"Yes.";"no"
"41";"deepseek-v3";"yes";"yes"
"42";"deepseek-v3";"no";"No."
"43";"deepseek-v3";"No.";"No"
"44";"deepseek-v3";"No.";"no"
"45";"deepseek-v3";"No.";"No."
"46";"deepseek-v3";"No.";"No."
"47";"deepseek-v3";"no";"no"
"48";"deepseek-v3";"no";"no"
"49";"deepseek-v3";"no";"no"
"50";"deepseek-v3";"No.";"No."
"51";"deepseek-v3";"No.";"No"
"52";"deepseek-v3";"No";"no"
